Player           Team PS GP  Min  FGM  FGA  3M  3A FTM  FTA  OR   TR   AS  ST  TO  BK  PF  DQ   PTS  TC  EJ  FF Sta +/-
bagley,marvin     det PF 18  492  111  200   8  35  32   54  38  123   19  13  18   7  43   0   262   0   0   0   8  -88
bagley,marvin     sac  C 30  656  114  246  15  62  35   47  67  215   17   9  21  11  50   0   278   0   0   0  17  -44
bagley,marvin     tot  C 48 1148  225  446  23  97  67  101 105  338   36  22  39  18  93   0   540   0   0   0  25 -132
ball,lamelo       cha PG 75 2422  538 1254 220 565 212  243 108  501  571 119 245  30 237   5  1508   0   0   0  75   99
ball,lonzo        chi PG 35 1213  162  383 110 260  21   28  35  190  178  64  82  31  85   0   455   0   0   0  35   81
bamba,mo          orl  C 71 1825  296  618 107 281  57   73 148  572   85  37  76 120 182   3   756   0   0   0  69 -373
bane,desmond      mem SG 76 2265  508 1101 228 523 140  155  46  334  208  92 111  29 196   3  1384   0   0   0  76  361
banton,dalano     tor SF 64  697   83  202  13  51  26   44  38  124   99  27  53  10  68   0   205   0   0   0   1   32
barber,cat        atl PG  3   13    0    4   0   0   0    4   1    3    3   0   1   0   1   0     0   0   0   0   0   11
barnes,harrison   sac SF 77 2589  391  833 142 360 341  413  82  432  186  52 119  14  94   0  1265   0   0   0  77 -374
barnes,scottie    tor SF 74 2617  459  932  58 193 158  215 195  557  256  79 137  55 192   1  1134   0   0   0  74   66
barrett,rj        nyk SF 70 2419  487 1194 138 404 290  406  66  408  208  43 151  16 142   0  1402   0   0   0  70 -146
barton,will       den SF 71 2277  392  896 157 430 102  127  45  341  275  55 127  31 114   0  1043   0   0   0  71   98
bass,paris        pho PF  2    7    2    6   0   2   2    2   2    4    0   1   2   0   2   0     6   0   0   0   0    2
bassey,charles    phi  C 23  167   30   47   0   4   9   12  22   62    7   5   8  17  32   1    69   0   0   0   0  -34
bates-diop,keit   san SF 59  959  136  263  17  55  46   61  62  231   41  26  45  14  61   0   335   0   0   0  14    4
batum,nicolas     lac SF 59 1465  179  387 108 270  25   38  29  253  100  59  40  42  80   0   491   0   0   0  54 -128
bazemore,kent     lal SF 39  545   45  139  29  80  13   17  12   68   34  24  21   8  70   0   132   0   0   0  14 -118
bazley,darius     okl SF 69 1928  274  647  80 269 117  170  71  435   97  58  91  70  68   0   745   0   0   0  53 -472
beal,bradley      was SG 40 1440  348  771  63 210 169  203  38  189  265  36 135  15  95   1   928   0   0   0  40 -102
beasley,malik     min SG 79 1973  332  850 240 637  49   60  26  226  116  43  43  12  88   0   953   0   0   0  18   82
bell,jordan       chi PF  1    2    0    0   0   0   0    0   1    1    0   1   0   0   2   0     0   0   0   0   0    1
bembry,deandre'   bro SF 48  951  121  214  15  36  21   35  39  153   60  46  30  25 104   0   278   0   0   0  20  -17
bembry,deandre'   mil SF  8   78    3    8   0   0   0    0   4   11    6   2   1   0   9   0     6   0   0   0   0  -10
bembry,deandre'   tot SF 56 1029  124  222  15  36  21   35  43  164   66  48  31  25 113   0   284   0   0   0  20  -27
bertans,davis     dal PF 22  304   39  104  31  86   8   10   6   55   15   6   5   6  30   1   117   0   0   0   0   63
bertans,davis     was PF 34  502   60  171  46 144  28   30   6   61   16  11  14   6  55   0   194   0   0   0   0  -33
bertans,davis     tot PF 56  806   99  275  77 230  36   40  12  116   31  17  19  12  85   1   311   0   0   0   0   30
beverley,patric   min PG 58 1474  177  436  83 242  96  133  62  239  268  67  73  52 174   2   533   0   0   0  54  112
bey,saddiq        det SF 82 2704  450 1136 211 610 210  254 107  441  233  73  96  16 128   0  1321   0   0   0  82 -499
birch,khem        tor PF 55  991   97  200   0  14  53   71 122  239   56  30  30  26 104   0   247   0   0   0  28   21
bitadze,goga      ind  C 50  730  131  252  23  80  64   94  80  178   55  22  46  42 107   0   349   0   0   0  16  -32
biyombo,bismack   pho  C 36  507   86  145   0   0  38   71  63  167   23  12  25  27  70   0   210   0   0   0   3   52
bjelica,nemanja   gsw PF 71 1139  160  342  54 149  59   81  63  294  159  41  87  25 128   0   433   0   0   0   0  133
bledsoe,eric      lac PG 54 1361  197  467  51 163  87  115  28  181  225  70 117  19  85   0   532   0   0   0  29  -40
blevins,keljin    por PG 31  350   34  111  21  72   6   11  16   45   20  13  17   1  29   0    95   0   0   0   1 -208
bogdanovic,bogd   atl SF 63 1850  342  794 169 459  97  115  29  250  194  67  70  14 132   1   950   0   0   0  27  192
bogdanovic,boja   uta SF 69 2132  422  929 181 468 223  260  58  296  120  34 117   1 116   0  1248   0   0   0  69  219
bol,bol           den  C 14   81   15   27   1   4   2    5   4   20    5   1   4   2   4   0    33   0   0   0   0    5
bolmaro,leandro   min SF 35  242   17   54   5  18  11   13  16   43   21   6  13   0  26   0    50   0   0   0   2    3
bonga,isaac       tor SF 15   68    3   13   1   4   5    8   4    7    4   8   2   2  10   0    12   0   0   0   0  -32
booker,devin      pho SG 68 2343  662 1421 183 478 315  363  45  342  329  77 162  26 180   2  1822   0   0   0  68  469
boston,brandon    lac SG 51  761  125  325  34 111  59   72  17  112   51  26  31  13  43   0   343   0   0   0   0  -37
boucher,chris     tor  C 80 1694  268  575  68 229 150  193 178  492   25  47  43  75 174   0   754   0   0   0   9  189
bouknight,james   cha PG 31  305   49  141  17  49  27   31  22   52   26   7  15   1  29   0   142   0   0   0   0  -50
bradley,avery     lal PG 62 1413  148  350  82 210  16   18  31  136   47  53  38   9 118   1   394   0   0   0  45 -181
bradley,tony      chi  C 55  551   72  123   0   0  19   29  66  185   27  11  34  33  62   0   163   0   0   0   7   70
brazdeikis,igna   orl SF 42  532   81  188  27  87  21   32  23   72   37  10  17   3  48   0   210   0   0   0   1 -173
bridges,mikal     pho PF 82 2855  458  857 115 311 131  157  74  347  184  96  68  36 150   0  1162   0   0   0  82  576
bridges,miles     cha SF 80 2835  595 1212 154 464 267  333  89  559  300  74 150  67 193   0  1611   0   0   0  80  142
brissett,oshae    ind SF 67 1564  208  506  83 237 114  164 108  358   72  43  54  29 116   0   613   0   0   0  25 -220
brogdon,malcolm   ind PG 36 1204  243  543  58 186 143  167  33  185  212  31  77  14  71   0   687   0   0   0  36    0
brooks,armoni     hou PG 41  691   87  251  64 213  16   19  12   81   49  23  23   7  60   0   254   0   0   0   8  -69
brooks,armoni     tor SG 13  156   11   38  10  36   2    2   8   22   13   7   4   3  14   0    34   0   0   0   3  -11
brooks,armoni     tot SG 54  847   98  289  74 249  18   21  20  103   62  30  27  10  74   0   288   0   0   0  11  -80
brooks,dillon     mem SF 32  886  227  526  46 149  90  106  29  102   88  36  50   8 105   0   590   0   0   0  31  206
brown,bruce       bro SG 72 1780  256  506  38  94  97  128 100  345  148  77  57  53 176   1   647   0   0   0  45  -47
brown,charles     dal SG  3   16    1    5   0   3   0    0   0    1    1   2   0   1   2   0     2   0   0   0   0  -30
brown,charles     phi SG 19  164    9   34   1   9   9   10  14   31    5   8   5   3  16   0    28   0   0   0   2    9
brown,charles     tot SG 22  180   10   39   1  12   9   10  14   32    6  10   5   4  18   0    30   0   0   0   2  -21
brown,chaundee    atl SG  3   83    9   25   6  15   5    6   1   14    4   2   0   0   7   0    29   0   0   0   2  -19
brown,chaundee    lal SF  2   20    1    7   0   3   0    0   0    2    0   0   1   0   0   0     2   0   0   0   0   -1
brown,chaundee    tot SF  5  103   10   32   6  18   5    6   1   16    4   2   1   0   7   0    31   0   0   0   2  -20
brown,greg        por PF 48  638   81  189  19  61  44   65  39  136   35  25  36  24  90   1   225   0   0   0   6 -241
brown,jaylen      bos SG 66 2220  576 1217 166 464 241  318  53  404  231  70 178  18 163   0  1559   0   0   0  66  453
brown,moses       cle  C 14  175   37   58   0   0  16   29  23   74    0   4   6   8  25   0    90   0   0   0   5  -51
brown,moses       dal  C 26  172   27   50   0   0  27   43  16   61    1   3  14   9  28   0    81   0   0   0   1    2
brown,moses       tot  C 40  347   64  108   0   0  43   72  39  135    1   7  20  17  53   0   171   0   0   0   6  -49
brown,sterling    dal SF 49  630   59  155  28  92  14   15  26  149   34  14  23   6  56   0   160   0   0   0   3   32
brown,troy        chi SG 66 1055  108  258  47 133  20   26  39  203   66  35  26   5  62   0   283   0   0   0   7  -44
brunson,jalen     dal SG 79 2523  506 1008  94 252 179  213  41  308  377  65 124   3 151   0  1285   0   0   0  61  231
bryant,thomas     was  C 27  442   77  148  12  42  35   40  26  108   23   6  19  21  43   0   201   0   0   0   9  -75
buchanan,shaq     mem SG  2   10    1    4   0   2   0    0   1    2    2   1   2   0   1   0     2   0   0   0   0   -2
bullock,reggie    dal SF 68 1901  201  501 141 392  40   48  32  241   83  41  39  14 111   0   583   0   0   0  37  270
burke,trey        dal PG 42  443   84  215  26  82  20   23   4   33   57  12  26   0  39   0   214   0   0   0   0  -10
burks,alec        nyk SG 81 2320  285  728 157 389 217  264  47  397  239  85  90  26 215   1   944   0   0   0  44  125
butler,jared      uta SG 42  360   61  151  28  88  11   16   5   45   63  17  33   8  47   0   161   0   0   0   1  -11
butler,jimmy      mia SF 57 1930  398  830  27 116 396  455 103  337  311  94 121  27  88   0  1219   0   0   0  57  245
cacok,devontae    san  C 15  121   21   31   0   0   4    7   8   42    6   8   3   7  16   0    46   0   0   0   0   -1
caldwell-pope,k   was SG 77 2329  361  830 159 408 137  154  41  260  145  83  97  26 139   0  1018   0   0   0  77 -229
campazzo,facund   den PG 65 1187  107  296  58 193  60   78  23  117  220  63  67  23 124   0   332   0   0   0   4 -211
cancar,vlatko     den SF 15  176   23   41   7  12   9   14   8   31   17   2   9   3  18   0    62   0   0   0   1    4
cannady,devin     orl PG  5  144   15   44  15  37   5    7   1    6   10   5   5   3   9   0    50   0   0   0   0  -11
capela,clint      atl  C 74 2043  370  603   0   1  80  169 277  875   92  55  44  93 166   0   820   0   0   0  73  126
carey,vernon      cha  C  4   17    3    6   0   0   2    3   3    5    0   1   1   0   1   0     8   0   0   0   1  -23
carey,vernon      was  C  3   27    4    7   0   0   4   10   5    7    0   1   2   1   3   0    12   0   0   0   0  -21
carey,vernon      tot  C  7   44    7   13   0   0   6   13   8   12    0   2   3   1   4   0    20   0   0   0   1  -44
carter,jevon      bro PG 46  550   58  174  42 127   7   10   9   67   46  14  26  10  45   0   165   0   0   0   1  -30
carter,jevon      mil PG 20  354   40   79  24  43   8    8   5   43   50  10   8   4  22   0   112   0   0   0   2  -23
carter,jevon      tot PG 66  904   98  253  66 170  15   18  14  110   96  24  34  14  67   0   277   0   0   0   3  -53
carter,wendell    orl  C 62 1854  359  683  70 214 143  207 139  647  171  37 118  43 169   3   931   0   0   0  61 -134
caruso,alex       chi SG 41 1147  102  257  42 127  58   73  33  147  165  71  57  15 106   2   304   0   0   0  18  110
cauley-stein,wi   dal  C 18  178   16   35   1   2   1    2  13   38    9   6   7   3  17   0    34   0   0   0   2   21
cauley-stein,wi   phi  C  2    5    0    0   0   0   0    0   0    2    1   0   0   0   2   0     0   0   0   0   0    3
cauley-stein,wi   tot  C 20  183   16   35   1   2   1    2  13   40   10   6   7   3  19   0    34   0   0   0   2   24
caver,ahmad       ind PG  1    1    1    1   0   0   0    0   0    0    0   0   0   0   0   0     2   0   0   0   0    2
champagnie,just   tor SF 36  280   31   67  10  28   9    9  37   72   11   7   8   4  32   0    81   0   0   0   0   52
cheatham,zylan    uta SF  1    5    0    3   0   2   0    0   0    0    0   0   0   0   0   0     0   0   0   0   0  -13
chiozza,chris     gsw PG 34  370   24   80  17  53   2    3   9   36   65  13  32   0  32   0    67   0   0   0   1  -49
chriss,marquese   dal SF 34  345   62  134   8  25  22   33  33  103   17  13  17  12  64   1   154   0   0   0   0  -10
christopher,jos   hou SG 74 1333  224  500  56 189  83  113  51  185  150  67 114  13  97   0   587   0   0   0   2 -272
clark,gary        nor SF 38  380   33   88  28  69   7   10  23   90   18  13  10   7  20   0   101   0   0   0   1  -18
clarke,brandon    mem SF 64 1251  288  447   5  22  85  130 135  342   86  38  34  67 122   0   666   0   0   0   1  176
clarkson,jordan   uta PG 79 2145  466 1113 190 597 144  174  67  273  194  65 128  16 149   0  1266   0   0   0   1  383
claxton,nicolas   bro  C 47  971  178  264   0   0  54   93  91  264   43  25  38  52 110   0   410   0   0   0  19  -29
coffey,amir       lac SF 69 1571  211  466  96 254 101  117  26  197  124  39  45  15  87   0   619   0   0   0  30  -47
collins,john      atl PF 54 1667  339  643  64 176 134  169  93  422   98  33  61  56 164   2   876   0   0   0  53   36
collins,zach      san PF 28  501   76  155  14  41  52   65  46  153   61  14  45  22  67   0   218   0   0   0   4   38
collison,darren   lal PG  3   37    2    7   0   3   0    0   0    4    2   1   1   0   5   0     4   0   0   0   0  -14
conley,mike       uta PG 72 2054  344  791 169 414 129  162  47  217  385  96 123  21 142   0   986   0   0   0  72  347
connaughton,pat   mil SG 65 1691  227  496 146 370  45   54  46  274   82  58  35  15  86   0   645   0   0   0  19  -26
cook,tyler        chi PF 20  200   23   38   0   0  21   32  16   53    3   4   7   4  28   0    67   0   0   0   2  -27
cooper,sharife    atl PG 13   40    3   14   1   6   0    0   0    5    5   0   5   0   1   0     7   0   0   0   0  -35
cornelie,petr     den PF 13   38    5   15   1   8   3    4   7   14    3   1   4   1   7   0    14   0   0   0   0    8
cousins,demarcu   den  C 31  432   94  206  24  74  64   87  50  172   53  19  69  13  93   0   276   0   0   0   2  -11
cousins,demarcu   mil  C 17  286   55  118  13  48  31   38  24   98   18  16  16   8  46   0   154   0   0   0   5   50
cousins,demarcu   tot  C 48  718  149  324  37 122  95  125  74  270   71  35  85  21 139   0   430   0   0   0   7   39
covington,rober   lac PF 23  507   81  162  49 109  28   33  18  117   24  28  17  28  58   0   239   0   0   0   2   89
covington,rober   por PF 48 1430  128  337  79 230  30   36  41  274   68  75  58  63 132   0   365   0   0   0  40  -51
covington,rober   tot PF 71 1937  209  499 128 339  58   69  59  391   92 103  75  91 190   0   604   0   0   0  42   38
craig,torrey      ind SF 51 1035  128  280  46 137  27   35  58  194   58  24  39  19  95   0   329   0   0   0  14 -198
craig,torrey      pho SF 27  563   72  160  31  96  12   17  27  115   33  22  28  17  56   1   187   0   0   0   2   14
craig,torrey      tot SF 78 1598  200  440  77 233  39   52  85  309   91  46  67  36 151   1   516   0   0   0  16 -184
crowder,jae       pho SF 67 1891  217  544 127 365  71   90  30  354  124  96  55  30 173   0   632   0   0   0  67  395
culver,jarrett    mem SG 37  336   51  135  12  47  16   34  13   48   33  20  20   5  42   0   130   0   0   0   0  -18
cumberland,jarr   por SG  3   12    1    2   0   1   0    0   1    3    1   0   0   0   2   0     2   0   0   0   0    9
cunningham,cade   det SG 64 2085  429 1031 114 363 142  168  58  354  355  79 234  43 200   2  1114   0   0   0  64 -275
curry,seth        bro SG 19  567  104  211  58 124  18   21   4   49   49  18  25   3  47   0   284   0   0   0  19   79
curry,seth        phi SG 45 1567  256  528 100 250  64   73  17  151  181  35  84  11 101   0   676   0   0   0  45  114
curry,seth        tot SG 64 2134  360  739 158 374  82   94  21  200  230  53 109  14 148   0   960   0   0   0  64  193
curry,stephen     gsw PG 64 2211  535 1223 285 748 275  298  34  335  404  85 207  23 130   1  1630   0   0   0  64  507
davis,anthony     lal PF 40 1408  370  695  13  70 174  244 106  394  122  50  82  90  97   0   927   0   0   0  40  -92
davis,ed          cle  C 31  201   11   16   0   0   6   14  14   64    7   3   5   9  33   0    28   0   0   0   3   18
davis,terence     sac SG 30  539  113  267  49 149  36   44  11   94   40  26  33  10  70   1   311   0   0   0  11   60
deck,gabriel      okl SF  7   55    8   14   2   4   2    2   1    6    5   1   2   0   2   0    20   0   0   0   0  -14
dedmon,dewayne    mia  C 67 1065  164  290  19  47  75  100 105  385   47  24  70  42 174   2   422   0   0   0  15   48
dekker,sam        tor SF  1    1    0    0   0   0   0    0   0    0    0   0   0   0   0   0     0   0   0   0   0   -5
delaurier,javin   mil  C  1    3    0    0   0   0   0    0   0    1    0   1   0   0   1   0     0   0   0   0   0    4
derozan,demar     chi SF 76 2746  774 1535  50 142 520  593  57  392  374  68 180  24 178   1  2118   0   0   0  76   77
diakite,mamadi    okl SF 13  189   25   47   0   5   6   11  17   58    2   5   6   9  33   0    56   0   0   0   3  -14
diallo,cheick     det  C  3   31    3    8   0   0   5    6   4   12    0   1   1   0   6   1    11   0   0   0   0  -33
diallo,hamidou    det SG 58 1265  261  526  23  93  91  140  69  277   73  71  58  18 143   1   636   0   0   0  29 -209
dieng,gorgui      atl  C 44  374   53  112  29  68  19   26  32  121   34  11  20  12  52   0   154   0   0   0   3  -63
dinwiddie,spenc   dal PG 23  649  121  243  42 104  79  109   9   73   90  17  31   6  43   0   363   0   0   0   7   57
dinwiddie,spenc   was SG 44 1328  185  491  70 225 116  143  36  207  256  28  73   7 107   0   556   0   0   0  44 -104
dinwiddie,spenc   tot SG 67 1977  306  734 112 329 195  252  45  280  346  45 104  13 150   0   919   0   0   0  51  -47
divincenzo,dont   mil SG 17  343   39  118  21  74  23   27  18   60   29  11  28   3  26   0   122   0   0   0   0  -33
divincenzo,dont   sac SG 25  666   79  218  53 144  47   56  22  110   89  37  44   5  43   0   258   0   0   0   1  -42
divincenzo,dont   tot SG 42 1009  118  336  74 218  70   83  40  170  118  48  72   8  69   0   380   0   0   0   1  -75
doncic,luka       dal PG 65 2301  641 1403 201 569 364  489  56  593  568  75 291  36 145   0  1847   0   0   0  65  146
dort,luguentz     okl SG 51 1667  293  726 130 391 161  191  38  212   88  47  88  18 149   1   877   0   0   0  51 -295
dosunmu,ayo       chi PG 77 2110  278  535  70 186  53   78  27  214  256  62 108  29 182   2   679   0   0   0  40 -199
dotson,damyean    nyk SG  2   20    2    4   0   1   0    0   0    2    1   0   0   0   0   0     4   0   0   0   0    3
dotson,devon      chi SG 11   85   11   23   2   9   5    9   1    9   15   1   5   0  11   0    29   0   0   0   0   -2
doumbouya,sekou   lal PF  2   16    5    8   1   2   3    4   2    6    0   3   2   2   1   0    14   0   0   0   0   24
dowtin,jeff       gsw PG  4   29    3    6   0   1   0    0   1    7    3   0   1   1   2   0     6   0   0   0   0   17
dowtin,jeff       mil PG  1    3    0    1   0   1   0    0   0    0    0   0   0   0   0   0     0   0   0   0   0   -4
dowtin,jeff       orl PG  4   78    5   19   1   7   2    2   7   11    7   5   4   0   3   0    13   0   0   0   0  -39
dowtin,jeff       tot PG  9  110    8   26   1   9   2    2   8   18   10   5   5   1   5   0    19   0   0   0   0  -26
dozier,pj         den SG 18  342   36   99  15  48  10   13  14   63   29  11  13   6  33   0    97   0   0   0   0  -90
dragic,goran      bro PG 16  407   44  117  12  49  17   23  11   51   77  14  33   3  37   0   117   0   0   0   6   28
dragic,goran      tor SG  5   90   13   34   4  14  10   10   3   15    9   4   1   1   8   0    40   0   0   0   2  -22
dragic,goran      tot SG 21  497   57  151  16  63  27   33  14   66   86  18  34   4  45   0   157   0   0   0   8    6
drummond,andre    bro  C 24  537  119  195   0   1  44   82  93  248   34  22  36  24  71   0   282   0   0   0  24   53
drummond,andre    phi  C 49  901  128  238   0   2  42   82 136  433   97  58  78  45 121   1   298   0   0   0  12  -14
drummond,andre    tot  C 73 1438  247  433   0   3  86  164 229  681  131  80 114  69 192   1   580   0   0   0  36   39
duarte,chris      ind SG 55 1542  268  621  94 255  90  112  42  227  114  56  90  10  95   0   720   0   0   0  39  -53
duke,david        bro SG 22  340   39  108   9  37  17   21  30   67   17  14   9   5  36   0   104   0   0   0   7  -10
dunn,kris         por PG 14  338   44  102   1  11  17   18   9   49   79  23  32   3  38   1   106   0   0   0   3  -92
durant,kevin      bro SF 55 2047  578 1114 115 300 372  409  29  407  351  48 191  52 113   0  1643   0   0   0  55  269
echenique,jaime   was  C  1    3    0    0   0   0   0    0   0    0    0   0   0   0   0   0     0   0   0   0   0   -1
edwards,anthony   min SF 72 2466  549 1244 215 602 220  280  60  343  275 104 190  46 164   1  1533   0   0   0  72  188
edwards,carsen    det PG  4   80    9   30   4  16   1    1   2    6   14   2   5   0   4   0    23   0   0   0   0  -12
edwards,kessler   bro SF 48  990  110  267  48 136  16   19  44  172   31  29  42  24  85   0   284   0   0   0  23  -60
edwards,rob       okl SG  2   11    1    4   1   4   0    0   0    3    0   0   1   0   0   0     3   0   0   0   0  -14
elleby,cj         por SF 58 1172  121  308  37 126  60   84  66  227   87  35  56  19 116   0   339   0   0   0  28 -348
ellington,wayne   lal SG 43  816   98  237  82 211   9   11  10   77   30  23  19   5  42   0   287   0   0   0   9  -59
embiid,joel       phi  C 68 2297  666 1334  93 251 654  803 146  795  284  76 214 100 181   0  2079   0   0   0  68  368
ennis,james       bro SF  2   13    2    7   1   2   0    0   2    5    0   1   0   1   0   0     5   0   0   0   0    9
ennis,james       den SF  3   14    2    6   0   2   0    1   1    2    3   0   1   0   1   0     4   0   0   0   0   -8
ennis,james       lac SF  2   28    7   11   2   4   4    4   2    5    0   1   1   1   4   0    20   0   0   0   0   -1
ennis,james       tot SF  7   55   11   24   3   8   4    5   5   12    3   2   2   2   5   0    29   0   0   0   0    0
eubanks,drew      por PF 22  652  137  212   4  15  40   51  66  186   35  18  35  10  61   1   318   0   0   0  22 -252
eubanks,drew      san  C 49  595   85  160   1   8  59   79  64  196   50  13  46  30  61   1   230   0   0   0   9  -74
eubanks,drew      tot  C 71 1247  222  372   5  23  99  130 130  382   85  31  81  40 122   2   548   0   0   0  31 -326
fall,tacko        cle  C 11   59    5   12   0   0   2    7   7   23    2   0   3   6   3   0    12   0   0   0   1    5
favors,derrick    okl  C 39  655   94  182   2  16  16   25  57  183   25  17   9  13  62   0   206   0   0   0  18 -143
fernando,bruno    bos  C 20   61    7   14   1   1   4    5   7   15    4   0   5   3   6   0    19   0   0   0   0  -33
fernando,bruno    hou  C 10   93   29   41   0   1  11   19  11   40    3   1   9   8  18   0    69   0   0   0   0    0
fernando,bruno    tot  C 30  154   36   55   1   2  15   24  18   55    7   1  14  11  24   0    88   0   0   0   0  -33
finney-smith,do   dal SF 80 2644  326  692 172 435  56   83 122  375  150  88  80  40 183   1   880   0   0   0  80  241
fitts,malik       bos SF  8   29    6   10   3   6   0    0   2    7    5   0   0   0   1   0    15   0   0   0   0   10
fitts,malik       uta SF  7   34    2    9   2   4   0    0   0   10    0   0   2   0   3   0     6   0   0   0   0  -29
fitts,malik       tot SF 15   63    8   19   5  10   0    0   2   17    5   0   2   0   4   0    21   0   0   0   0  -19
flynn,malachi     tor PG 44  540   72  183  30  90  15   24  10   62   70  21  13   3  45   0   189   0   0   0   5  -26
forbes,bryn       den SG 35  611  103  243  59 144  35   38   6   30   34   8  23   2  53   0   300   0   0   0   1   65
forbes,bryn       san SG 40  673  128  295  63 151  44   49   4   63   42  18  33   2  42   0   363   0   0   0   1  -40
forbes,bryn       tot SG 75 1284  231  538 122 295  79   87  10   93   76  26  56   4  95   0   663   0   0   0   2   25
ford,aleem        orl SF  5   75    6   20   2  15   0    0   2   15    2   1   4   0   7   0    14   0   0   0   0  -35
forrest,trent     uta SG 60  766   76  155   5  27  38   48  23   99  106  30  48   6  43   0   195   0   0   0   6   78
fournier,evan     nyk SG 80 2360  402  965 241 619  80  113  34  209  171  78 105  21 180   1  1125   0   0   0  80  -93
fox,de'aaron      sac PG 59 2080  516 1092  74 249 261  348  25  231  329  68 168  25 172   1  1367   0   0   0  59 -193
frazier,michael   okl SG  3  120   13   48   1  21   5    7   5   13    1   1   3   0   8   0    32   0   0   0   0  -92
frazier,tim       cle PG  2    8    1    2   0   0   0    0   0    0    1   0   2   0   3   0     2   0   0   0   0  -10
frazier,tim       orl PG 10  199   13   43   6  17   5    9   5   19   33   3  13   1  24   0    37   0   0   0   3  -70
frazier,tim       tot PG 12  207   14   45   6  17   5    9   5   19   34   3  15   1  27   0    39   0   0   0   3  -80
fultz,markelle    orl SG 18  360   83  175   4  17  25   31   4   49   99  20  40   5  22   0   195   0   0   0   3  -37
gabriel,wenyen    bro PF  1    1    0    0   0   0   0    0   0    1    0   0   0   0   0   0     0   0   0   0   0    3
gabriel,wenyen    lac PF  6   45    5   13   2   5   2    4   6   15    2   1   3   2  11   0    14   0   0   0   0   -3
gabriel,wenyen    lal PF 19  312   49   97   6  23  23   38  34   82   12   4  13   9  57   0   127   0   0   0   5   44
