Player           Team PS GP  Min  FGM  FGA  3M  3A FTM  FTA  OR   TR   AS  ST  TO  BK  PF  DQ   PTS  TC  EJ  FF Sta +/-
achiuwa,preciou   tor SF 73 1730  265  603  56 156  78  131 146  473   82  38  84  41 151   1   664   0   0   0  28   72
adams,steven      mem  C 76 1997  210  383   0   1 108  199 348  760  256  66 115  60 153   1   528   0   0   0  75  353
adebayo,bam       mia  C 56 1826  406  729   0   6 256  340 137  564  190  79 148  44 171   2  1068   0   0   0  56  300
aldama,santi      mem PF 32  359   53  132   6  48  20   32  33   87   21   6  16  10  36   0   132   0   0   0   0   16
aldridge,lamarc   bro  C 47 1050  252  459  14  46  89  102  73  258   42  14  43  47  78   1   607   0   0   0  12   19
alexander-walke   nor SG 50 1319  237  632  95 305  70   97  35  163  139  41  84  19  88   0   639   0   0   0  19 -127
alexander-walke   uta SG 15  149   16   48  10  33  11   12   1   23   17   5   8   4  15   0    53   0   0   0   2   15
alexander-walke   tot SG 65 1468  253  680 105 338  81  109  36  186  156  46  92  23 103   0   692   0   0   0  21 -112
allen,grayson     mil SG 66 1806  255  569 159 389  64   74  31  221  100  45  43  18  96   0   733   0   0   0  61  233
allen,jarrett     cle  C 56 1809  369  545   1  10 165  233 191  601   92  44  94  76  97   0   904   0   0   0  56  135
alvarado,jose     nor PG 54  835  131  294  32 110  36   53  25  100  152  71  40   7  73   0   330   0   0   0   1  143
anderson,justin   cle SG  3   47    4    8   2   6   3    4   0    6    6   1   2   0   4   0    13   0   0   0   0   34
anderson,justin   ind SG 13  269   32   87  13  53  12   15   4   40   27   7   6   6  18   0    89   0   0   0   6  -49
anderson,justin   tot SG 16  316   36   95  15  59  15   19   4   46   33   8   8   6  22   0   102   0   0   0   6  -15
anderson,kyle     mem SF 69 1482  209  469  36 109  67  105  69  368  183  77  71  46 108   0   521   0   0   0  11   59
antetokounmpo,g   mil PF 67 2207  689 1244  71 242 553  766 134  778  388  72 219  91 212   2  2002   0   0   0  67  397
antetokounmpo,t   mil SF 48  475   70  128   2  14  29   46  40  101   22  16  26  12  68   1   171   0   0   0   6 -115
anthony,carmelo   lal SF 69 1800  319  723 149 397 132  159  62  288   68  47  59  52 166   0   919   0   0   0   3  -88
anthony,cole      orl PG 65 2057  357  912 132 391 216  253  32  348  369  45 170  17 171   0  1062   0   0   0  65 -230
anunoby,og        tor SF 48 1728  309  698 115 317  89  118  75  265  125  71  80  25 131   2   822   0   0   0  48  135
arcidiacono,rya   nyk PG 10   76    6   12   4   9   0    0   0    8    4   1   3   0   5   0    16   0   0   0   0  -12
ariza,trevor      lal SF 24  461   33   99  20  74  10   18  10   82   27  12  11   6  20   0    96   0   0   0  11  -56
augustin,d.j.     hou PG 34  510   55  136  39  96  33   38   6   40   74  10  45   0  17   0   182   0   0   0   2 -120
augustin,d.j.     lal PG 21  373   39   86  29  68   5    5   4   27   33   7  11   1  22   0   112   0   0   0   0  -57
augustin,d.j.     tot PG 55  883   94  222  68 164  38   43  10   67  107  17  56   1  39   0   294   0   0   0   2 -177
avdija,deni       was SF 82 1987  250  579  82 259 103  136  52  424  167  59  87  45 190   1   685   0   0   0   8  -63
ayayi,joel        was SG  7   20    1    6   0   1   0    0   1    3    4   0   0   0   0   0     2   0   0   0   0    3
ayton,deandre     pho  C 58 1714  442  697   7  19 106  142 148  592   84  40  91  40 142   3   997   0   0   0  58  344
azubuike,udoka    uta  C 17  195   37   49   0   0   6   11  18   71    0   1  12  11  25   0    80   0   0   0   6    4
